User ID|Player|Discord|Team
15435713|piggerit||Simon Fraser University C
3228967|Jing Yuan||Simon Fraser University C
8855817|_mokichi||Simon Fraser University C
18077991|geometrick||The Ohio State University A
22318661|Twin Blue||The Ohio State University A
32605070|LukeWarmSuiPiss||The Ohio State University A
20029458|DumplingExpert||The Ohio State University A
8975687|ThievingFlea||University of Wisconsin-Madison A
6349821|cheese salad||University of Wisconsin-Madison A
28365836|[SHK]RoyMaster||Northwestern Polytechnical University A
13217389|My Angel Kuroe||Northwestern Polytechnical University A
13999223|[SHK]RET_jskak||Northwestern Polytechnical University A
32289237|chanliuko||Northwestern Polytechnical University A
12300362|Sarkazzm||McGill University A
14201430|Emilico||McGill University A
18304508|ANutshell||McGill University A
17950529|n00blet||University of Maryland,College Park C
8295497|Lapisz||University of Maryland,College Park C
11256297|QWERTYKeybored||University of Maryland,College Park C
11069917|xela21666||University of Maryland,College Park C
11050944|21Jeff21||University of Manchester A
29382977|TheFrostedDev||University of Manchester A
14274278|Stermo||University of Manchester A
15577361|BradIsRad||University of Nevada,Las Vegas A
12247710|ZModOsu||University of Nevada,Las Vegas A
22016862|argosun||University of Texas at Austin B
27209874|cute tomboy||University of Texas at Austin B
21795416|bleh05||University of Texas at Austin B
15848252|RashCylinder36||University of Texas at Austin B
15077039|Zephe||Rutgers University D
17968640|gel king||Rutgers University D
16692562|LTWaffles8||Rutgers University D
14091274|tohan on osu||Rutgers University D
8508413|jacj||University of Alberta C
16911337|Ruan Mei||University of Alberta C
13525239|Tsumiki Fanboy||University of Alberta C
9123615|Happydude53||University of Alberta C
17118441|ThatAvocado_Boi||Saint Petersburg Electrotechnical University A
9364261|Kordimion||Saint Petersburg Electrotechnical University A
8967382|woiester||Columbia University A
12869305|TmrsEve||Columbia University A
10901336|ZombiePenguin||Illinois Institute of Technology A
9901787|DaSwagTurtle||Illinois Institute of Technology A
9946406|easypeasy123||University of California,Los Angeles C
11157009|AloeMeow||University of California,Los Angeles C
24057585|imkenny||University of California,Los Angeles C
15958820|Ayacrin||National University Dasmariñas A
13907944|katsuragi1203||National University Dasmariñas A
16340549|Christianityy||National University Dasmariñas A
14947210|ilikeapple12||Wilfrid Laurier University B
13316229|-YuuN-||Wilfrid Laurier University B
31222772|MrThrone||Kennesaw State University B
16615033|thiicciecheese||Kennesaw State University B
17773127|MonkeyPilot72||Kennesaw State University B
4704375|Jkarate||Kennesaw State University B
11833538|_somet||Northeastern University B
13131239|nocko||Northeastern University B
21858099|Takimeps||Northeastern University B
15458967|CluelessGuy_21||Northeastern University B
11292536|Mejiro Ardan||Worcester Polytechnic Institute A
16657461|ArrowKnee||Worcester Polytechnic Institute A
30745454|4leaf||Worcester Polytechnic Institute A
8155626|Doczera-||Escola Politécnica da Universidade de São Paulo A
16157022|Niikuuni||Escola Politécnica da Universidade de São Paulo A
17243019|Falquetto||Escola Politécnica da Universidade de São Paulo A
30204013|Alex21isbadlol||University of Florida B
17422733|Simcur||University of Florida B
18684661|IrumiiCh||The University of the East - Manila A
18251537|raee_sama||The University of the East - Manila A
20020441|cyger||Troy University A
34940601|septicity||Troy University A
